obsnme,obsval,weight,obgnme,extra
ucon_usecol:kper:082_name:ef-8_k:11_j:212_k:41,5.860247,1.0,obgnme,
ucon_usecol:kper:083_name:ef-8_k:11_j:212_k:41,5.7254167,1.0,obgnme,
ucon_usecol:kper:084_name:ef-8_k:11_j:212_k:41,5.4334016,1.0,obgnme,
ucon_usecol:kper:085_name:ef-8_k:11_j:212_k:41,5.071461,1.0,obgnme,
ucon_usecol:kper:086_name:ef-8_k:11_j:212_k:41,4.730198,1.0,obgnme,
ucon_usecol:kper:087_name:ef-8_k:11_j:212_k:41,4.4611516,1.0,obgnme,
ucon_usecol:kper:088_name:ef-8_k:11_j:212_k:41,4.229483,1.0,obgnme,
ucon_usecol:kper:089_name:ef-8_k:11_j:212_k:41,4.049299,1.0,obgnme,
ucon_usecol:kper:090_name:ef-8_k:11_j:212_k:41,3.9034512,1.0,obgnme,
ucon_usecol:kper:091_name:ef-8_k:11_j:212_k:41,3.789694,1.0,obgnme,
ucon_usecol:kper:000_name:h-63_k:11_j:253_k:63,0.010782408,1.0,obgnme,
ucon_usecol:kper:001_name:h-63_k:11_j:253_k:63,0.014717985,1.0,obgnme,
ucon_usecol:kper:002_name:h-63_k:11_j:253_k:63,0.015056579,1.0,obgnme,
ucon_usecol:kper:003_name:h-63_k:11_j:253_k:63,0.013702483,1.0,obgnme,
ucon_usecol:kper:004_name:h-63_k:11_j:253_k:63,0.011743492,1.0,obgnme,
ucon_usecol:kper:005_name:h-63_k:11_j:253_k:63,0.009741037,1.0,obgnme,
ucon_usecol:kper:006_name:h-63_k:11_j:253_k:63,0.007929815,1.0,obgnme,
ucon_usecol:kper:007_name:h-63_k:11_j:253_k:63,0.0063863783,1.0,obgnme,
ucon_usecol:kper:008_name:h-63_k:11_j:253_k:63,0.005111425,1.0,obgnme,
ucon_usecol:kper:009_name:h-63_k:11_j:253_k:63,0.004091015,1.0,obgnme,
ucon_usecol:kper:010_name:h-63_k:11_j:253_k:63,0.0032782985,1.0,obgnme,
ucon_usecol:kper:011_name:h-63_k:11_j:253_k:63,0.0026066978,1.0,obgnme,
ucon_usecol:kper:012_name:h-63_k:11_j:253_k:63,0.0020142368,1.0,obgnme,
ucon_usecol:kper:013_name:h-63_k:11_j:253_k:63,0.0021401434,1.0,obgnme,
ucon_usecol:kper:014_name:h-63_k:11_j:253_k:63,0.0027445024,1.0,obgnme,
